
#####################################################
#               MalSilo IPv4 feed                   #
#####################################################
#                                                   #
# Dataset generated @ 2021-03-20 22:00:03 (UTC)     #
#                                                   #
# Use the data at your own risk, for any            #
# re-publishing or integration into other           #
# datasets please contact malsilo [at] tuta .io     #
#                                                   #
#####################################################
#
# Firstseen,Lastseen,ipv4:port,threat,tags 
"2021-02-28","2021-02-28","185.215.113.76:80","delf",""
"2021-03-01","2021-03-01","5.39.217.221:80","maldoc","rtf"
"2021-03-01","2021-03-01","176.111.174.63:1500","bsymem","peexe32,pegui"
"2021-03-01","2021-03-01","3.14.9.216:17890","adware","peexe32,pegui"
"2021-03-02","2021-03-02","164.132.233.203:80","riskware","peexe32,pegui"
"2021-03-03","2021-03-03","194.5.98.250:1144","nanocore","pegui,peexe32,assembly"
"2021-03-07","2021-03-07","185.215.113.14:80","delf",""
"2021-03-07","2021-03-07","185.215.113.98:80","delf",""
"2021-03-07","2021-03-07","190.115.18.211:80","delf",""
"2021-03-08","2021-03-08","217.8.117.207:80","downloader","peexe32,pegui"
"2021-03-08","2021-03-09","194.147.115.117:80","coinminer","peexe32,pegui"
"2021-03-08","2021-03-08","185.215.113.112:80","emotet",""
"2021-03-09","2021-03-09","89.3.198.238:443","qbot",""
"2021-03-09","2021-03-09","75.118.1.141:443","qbot",""
"2021-03-09","2021-03-09","217.133.54.140:32100","qbot",""
"2021-03-09","2021-03-09","83.110.9.71:2222","qbot",""
"2021-03-09","2021-03-09","149.28.101.90:443","qbot",""
"2021-03-13","2021-03-13","80.92.206.118:3214","riskware","peexe32,pegui"
"2021-03-17","2021-03-17","45.153.231.219:81","agenttesla","pegui,peexe32,assembly"
"2021-03-17","2021-03-17","91.194.11.64:81","agenttesla","pegui,peexe32,assembly"
"2021-03-17","2021-03-17","45.67.231.52:81","agenttesla","pegui,peexe32,assembly"
"2021-03-17","2021-03-17","185.215.113.54:80","delf",""
"2021-03-19","2021-03-19","176.111.174.35:80","emotet",""
