first_seen_utc,dst_ip,dst_port,c2_status,last_online,malware
21/01/17 07:30,67.213.75.205,443,offline,21/03/18,Dridex
21/01/17 07:44,192.73.238.101,443,offline,21/03/01,Dridex
21/01/17 07:44,51.178.161.32,4643,online,21/03/21,Dridex
21/01/17 07:44,194.58.98.196,3389,online,21/03/21,Dridex
21/01/17 07:44,142.4.6.57,14043,offline,21/03/01,Dridex
21/01/17 07:44,93.186.200.154,3889,online,21/03/21,Dridex
21/01/17 07:44,162.144.127.197,3786,offline,21/03/18,Dridex
21/01/17 07:45,5.9.178.143,443,offline,21/03/09,Dridex
21/01/17 07:45,23.160.192.125,447,online,21/03/21,Dridex
21/01/17 07:45,221.126.244.72,443,online,21/03/21,Dridex
21/01/17 07:45,157.7.166.26,5353,offline,21/03/18,Dridex
21/01/17 07:45,208.71.173.207,3098,online,21/03/21,Dridex
21/01/17 07:45,77.220.64.37,443,offline,21/02/24,Dridex
21/01/17 07:45,69.64.62.4,4443,offline,21/03/05,Dridex
21/01/17 07:45,111.230.104.169,3388,online,21/03/21,Dridex
21/01/17 07:45,217.79.184.243,33443,online,21/03/21,Dridex
21/01/17 07:46,199.66.90.63,443,online,21/03/21,Dridex
21/01/17 07:46,62.75.168.106,3886,online,21/03/21,Dridex
21/01/17 07:46,82.165.152.127,3389,online,21/03/21,Dridex
21/01/17 07:47,216.172.165.70,3889,offline,21/03/09,Dridex
21/01/17 07:47,85.207.13.169,443,online,21/03/21,Dridex
21/01/17 07:47,104.131.164.93,443,online,21/03/21,Dridex
21/01/17 07:47,46.101.90.205,4643,online,21/03/21,Dridex
21/01/17 07:48,123.206.58.135,8172,online,21/03/21,Dridex
21/01/17 07:49,77.220.64.39,443,offline,21/02/24,Dridex
21/01/17 07:49,78.47.139.43,4443,offline,21/03/18,Dridex
21/01/17 07:49,169.255.216.36,443,offline,21/03/13,Dridex
21/01/17 07:49,193.90.12.122,3098,offline,21/03/18,Dridex
21/01/17 07:49,103.40.116.68,5443,online,21/03/21,Dridex
21/01/17 07:49,178.254.22.25,33443,offline,21/03/18,Dridex
21/01/17 07:49,45.56.127.75,49160,online,21/03/21,Dridex
21/01/17 07:50,103.41.110.115,33443,offline,21/02/22,Dridex
21/01/17 07:50,209.59.199.129,4443,online,21/03/21,Dridex
