################################################################
# abuse.ch SSLBL Botnet C2 IP Blacklist (CSV)                  #
# Last updated: 2021-03-20 01:56:52 UTC                        #
#                                                              #
# Terms Of Use: https://sslbl.abuse.ch/blacklist/              #
# For questions please contact sslbl [at] abuse.ch             #
################################################################
#
# Firstseen,DstIP,DstPort
2021-03-20 01:56:52,198.23.212.148,8808
2021-03-19 14:38:40,54.218.15.82,443
2021-03-19 14:38:40,204.236.142.165,443
2021-03-19 07:18:00,172.94.109.35,2703
2021-03-18 20:57:29,134.122.134.87,443
2021-03-18 09:00:30,46.243.221.30,2703
2021-03-18 05:40:19,182.92.233.209,443
2021-03-17 15:54:45,185.58.92.227,5353
2021-03-17 14:22:18,185.189.151.126,443
2021-03-17 13:48:54,221.146.229.139,1002
2021-03-17 11:59:53,94.158.245.121,443
2021-03-17 07:57:56,45.134.169.75,443
2021-03-17 02:09:03,95.179.246.182,443
2021-03-16 19:34:45,34.76.44.128,443
2021-03-16 06:17:25,194.5.97.128,11011
2021-03-16 05:02:07,103.55.10.39,2703
2021-03-16 03:06:53,35.201.213.225,8443
2021-03-16 01:43:11,112.124.28.213,443
2021-03-15 14:06:53,34.91.16.249,443
2021-03-15 07:47:58,213.152.162.69,43413
2021-03-15 04:47:46,172.111.251.53,2703
2021-03-15 02:26:12,172.94.50.146,2703
2021-03-15 01:21:02,47.95.219.96,3344
2021-03-14 04:20:17,45.67.231.247,443
2021-03-13 20:50:50,5.181.156.250,443
2021-03-13 05:48:27,188.127.231.114,443
2021-03-13 04:45:50,172.94.50.143,2703
2021-03-12 23:55:29,34.70.170.220,443
2021-03-12 23:53:23,168.119.0.86,443
2021-03-12 07:35:53,77.247.127.24,6666
2021-03-12 04:27:47,140.238.243.50,2021
2021-03-12 01:38:33,191.101.130.162,8808
2021-03-11 23:29:43,18.224.135.48,1612
2021-03-11 20:37:34,41.105.23.43,1231
2021-03-11 13:31:44,191.101.130.162,7707
2021-03-11 12:10:16,34.65.142.15,443
2021-03-11 06:23:19,35.246.79.214,443
2021-03-11 01:43:07,185.163.45.182,443
2021-03-10 19:57:21,34.90.118.146,443
2021-03-10 13:52:08,45.145.36.210,443
2021-03-10 11:45:05,172.104.225.210,443
2021-03-10 05:41:39,101.200.178.253,443
2021-03-10 04:58:42,35.246.130.209,443
2021-03-09 21:57:32,185.219.168.29,2990
2021-03-09 20:32:36,41.105.114.108,1231
2021-03-09 14:29:29,185.163.45.249,443
2021-03-09 13:44:10,79.134.225.18,7707
2021-03-09 08:30:06,172.93.163.101,6606
2021-03-09 07:43:58,172.93.163.101,8808
2021-03-09 07:33:35,46.243.221.26,2703
2021-03-09 07:22:01,152.89.247.74,7139
2021-03-09 06:32:00,194.5.98.206,4449
2021-03-08 22:10:39,23.163.0.12,443
2021-03-08 19:31:28,35.204.89.50,443
2021-03-08 19:14:16,106.55.62.131,443
2021-03-08 16:47:46,185.106.123.114,443
2021-03-08 13:05:42,64.225.20.68,443
2021-03-07 13:16:57,152.89.247.75,2810
2021-03-06 21:58:02,18.223.156.62,4656
2021-03-06 21:20:26,158.69.149.45,53
2021-03-06 07:08:35,167.114.77.20,1177
2021-03-06 00:26:25,213.152.161.5,42012
2021-03-05 19:03:19,8.209.66.127,443
2021-03-05 19:03:19,8.209.66.127,443
2021-03-04 23:56:03,35.232.94.42,443
2021-03-04 14:37:51,185.157.161.20,20058
2021-03-04 13:33:57,64.225.101.13,443
2021-03-04 09:16:39,95.216.105.73,7707
2021-03-04 08:51:52,185.140.53.133,1404
2021-03-04 07:23:23,34.91.233.147,443
2021-03-04 05:48:36,160.20.147.107,1508
2021-03-04 03:32:50,3.20.238.67,443
2021-03-03 15:49:59,160.20.145.218,5072
2021-03-03 14:48:06,103.151.125.236,5665
2021-03-03 06:53:04,203.159.80.241,4898
2021-03-03 06:51:20,3.12.163.16,7777
2021-03-03 06:48:18,178.238.8.204,6666
2021-03-02 18:04:45,51.81.126.20,6666
2021-03-02 09:53:04,34.91.203.83,443
2021-03-02 08:39:29,213.152.161.229,8746
2021-03-02 03:23:37,41.214.187.35,1993
2021-03-01 13:44:21,152.89.247.27,1210
2021-03-01 08:53:43,35.241.172.252,443
2021-03-01 08:12:25,185.118.164.167,2442
2021-03-01 06:43:45,5.2.68.70,8070
2021-02-28 05:26:56,193.42.26.19,443
2021-02-27 23:41:05,3.128.190.178,7777
2021-02-27 05:21:00,34.107.19.249,443
2021-02-27 02:03:15,189.232.4.114,4782
2021-02-26 23:00:50,45.85.90.192,44277
2021-02-26 22:49:04,3.128.190.178,2403
2021-02-26 22:26:56,94.103.80.254,4334
2021-02-26 20:06:23,154.209.5.14,10443
2021-02-26 19:38:44,103.212.180.246,5554
2021-02-26 14:50:02,45.77.46.72,443
2021-02-26 14:45:54,91.243.45.11,443
2021-02-26 12:47:36,34.69.90.254,443
2021-02-26 07:43:01,185.157.161.223,1973
2021-02-26 02:01:23,189.232.49.230,4782
2021-02-25 20:54:28,35.228.252.199,443
2021-02-25 20:08:11,36.110.239.122,4430
2021-02-25 17:51:04,46.101.58.213,443
2021-02-25 17:48:53,121.37.139.238,443
2021-02-25 16:59:28,3.128.190.178,1488
2021-02-25 15:05:32,195.123.213.219,443
2021-02-25 15:05:32,195.123.209.122,443
2021-02-25 15:03:44,104.200.67.118,443
2021-02-25 11:37:57,79.134.225.26,8808
2021-02-25 11:04:02,172.93.201.100,443
2021-02-25 02:32:40,3.128.254.246,7777
2021-02-25 00:02:06,91.109.176.8,8808
2021-02-24 20:18:02,154.16.67.107,1177
2021-02-24 12:00:07,3.128.190.178,1604
2021-02-24 10:35:30,3.19.75.7,7777
2021-02-24 10:25:58,3.128.190.178,1222
2021-02-23 15:43:21,141.255.155.228,1188
2021-02-23 07:30:56,79.134.225.8,2256
2021-02-22 20:37:59,45.153.203.55,44277
2021-02-22 17:18:11,89.182.79.1,3601
2021-02-22 02:33:14,107.191.62.88,443
2021-02-21 23:58:01,198.102.14.18,4712
2021-02-21 22:29:30,185.82.218.53,443
2021-02-19 18:33:43,181.141.5.139,8050
2021-02-16 16:26:59,103.151.123.132,6204
2021-02-10 07:41:44,201.219.204.73,1881
2021-02-05 08:17:59,45.76.177.3,443
2021-01-28 01:37:16,193.161.193.99,31330
2021-01-24 23:40:18,149.56.80.31,443
2021-01-22 19:51:07,193.23.3.13,6666
2021-01-18 00:33:49,79.134.225.18,8808
2021-01-08 20:09:34,194.156.98.71,4898
2020-12-14 06:18:14,179.43.166.54,8070
2020-12-09 15:42:11,185.225.19.253,443
2020-11-28 05:05:49,45.134.21.8,72
2020-11-14 06:15:38,78.128.113.14,443
2020-10-25 22:00:59,5.181.156.126,443
2019-02-26 21:38:52,108.61.89.233,443
2016-12-04 05:19:11,216.218.208.114,80
# END (138) entries
