
#####################################################
#               MalSilo URL feed                    #
#####################################################
#                                                   #
# Dataset generated @ 2021-03-20 22:00:03 (UTC)     #
#                                                   #
# Use the data at your own risk, for any            #
# re-publishing or integration into other           #
# datasets please contact malsilo [at] tuta .io     #
#                                                   #
#####################################################
#
# Firstseen,Lastseen,url,threat,tags 
"2021-03-02","2021-03-02","http://164.132.233.203/data/getip.php","riskware","peexe32,pegui"
"2021-03-04","2021-03-04","http://docs.healthmade.org:80//remote.dotm","unknown","docx"
"2021-03-04","2021-03-04","ftp://ftp.curidesigner.com/pw_user-worker-02_2021_03_05_01_27_50.html","agenttesla","pegui,peexe32,assembly"
"2021-03-05","2021-03-05","http://xk.996is.com:66/kj.dll","tinba","peexe32,pegui"
"2021-03-05","2021-03-05","http://paste.ee:443//r/c0nh4","downloader","peexe32,pegui"
"2021-03-06","2021-03-06","http://api.faceit.com:443//core/v1/nicknames/slowyen","downloader","peexe32,pegui"
"2021-03-07","2021-03-07","https://api.2ip.ua/geo.json","glupteba","peexe32,pegui"
"2021-03-08","2021-03-08","http://217.8.117.207/gb2pnjsjcs/plugins/scr.dll","downloader","peexe32,pegui"
"2021-03-08","2021-03-08","http://217.8.117.207/gb2pnjsjcs/plugins/cred.dll","downloader","peexe32,pegui"
"2021-03-08","2021-03-08","http://217.8.117.207:80//gb2pnjsjcs/index.php","downloader","peexe32,pegui"
"2021-03-08","2021-03-09","http://194.147.115.117:80//zzztop/phoenixminer.exe","coinminer","peexe32,pegui"
"2021-03-08","2021-03-09","http://194.147.115.117:80//zzztop/this.exe","coinminer","peexe32,pegui"
"2021-03-09","2021-03-09","http://liverpoolofcfanclub.com/liverpool-fc-news/features/steven-gerrard-liverpool-future-dalglish--goal-5664fa03d660fb23e38f7f4966c04867.html","downloader","pegui,peexe32,assembly"
"2021-03-10","2021-03-10","http://r.pengyou.com/fcg-bin/cgi_get_portrait.fcg","coinminer","mz"
"2021-03-10","2021-03-10","http://liverpoolofcfanclub.com/liverpool-fc-news/features/steven-gerrard-liverpool-future-dalglish--goal-8dab36b523d35be6a6d2d638d1d56c6e.html","downloader","pegui,peexe32,assembly"
"2021-03-10","2021-03-10","https://ylo.uhuua.ru/thisassemblyn","downloader","peexe32,pegui"
"2021-03-10","2021-03-10","https://ylo.uhuua.ru/systemdiagnosticsdatareceivedeventargsi","downloader","peexe32,pegui"
